run_label,fixation,anchoring,digestion,mean_ic_percent
i) AcX + Trypsin,0.0,0.6000000238418579,0.6000000238418579,16.654951960350356
i) AcX + Trypsin,0.0,0.699999988079071,0.6000000238418579,17.767442554299027
i) AcX + Trypsin,0.0,0.800000011920929,0.6000000238418579,18.44548555324339
i) AcX + Trypsin,0.0,0.8999999761581421,0.6000000238418579,18.666759091463533
i) AcX + Trypsin,0.0,1.0,0.6000000238418579,18.460277590328527
i) AcX + Trypsin,0.0,0.0,0.699999988079071,0.0
i) AcX + Trypsin,0.0,0.10000000149011612,0.699999988079071,3.816252936755931
i) AcX + Trypsin,0.0,0.20000000298023224,0.699999988079071,7.203440032757337
i) AcX + Trypsin,0.0,0.30000001192092896,0.699999988079071,10.188249718174909
i) AcX + Trypsin,0.0,0.4000000059604645,0.699999988079071,12.76756920509624
i) AcX + Trypsin,0.0,0.5,0.699999988079071,14.962249815071747
