dig_round,anch_round,mean_ic,fix_round,run
0.9,0.0,0.0,0.01,i) AcX + Trypsin
1.0,0.0,0.0,0.01,i) AcX + Trypsin
0.0,0.1,0.04506163167701863,0.01,i) AcX + Trypsin
0.1,0.1,0.076709316563147,0.01,i) AcX + Trypsin
0.2,0.1,0.0829423033126294,0.01,i) AcX + Trypsin
0.3,0.1,0.08458576977225674,0.01,i) AcX + Trypsin
0.4,0.1,0.07747074844720497,0.01,i) AcX + Trypsin
0.5,0.1,0.07523498115942029,0.01,i) AcX + Trypsin
0.6,0.1,0.07121149275362318,0.01,i) AcX + Trypsin
0.7,0.1,0.0651127645962733,0.01,i) AcX + Trypsin
0.8,0.1,0.06079523602484472,0.01,i) AcX + Trypsin
0.9,0.1,0.05647328964803312,0.01,i) AcX + Trypsin
1.0,0.1,0.05285590248447205,0.01,i) AcX + Trypsin
0.0,0.2,0.045501413457556934,0.01,i) AcX + Trypsin
0.1,0.2,0.10713510414078675,0.01,i) AcX + Trypsin
0.2,0.2,0.12898732008281574,0.01,i) AcX + Trypsin
0.3,0.2,0.1343879927536232,0.01,i) AcX + Trypsin
0.4,0.2,0.1341141281573499,0.01,i) AcX + Trypsin
0.5,0.2,0.13256228053830227,0.01,i) AcX + Trypsin
0.6,0.2,0.12675241863354036,0.01,i) AcX + Trypsin
0.7,0.2,0.12056968778467908,0.01,i) AcX + Trypsin
0.8,0.2,0.11365924016563148,0.01,i) AcX + Trypsin
0.9,0.2,0.10726394741200829,0.01,i) AcX + Trypsin
1.0,0.2,0.10263166107660454,0.01,i) AcX + Trypsin
0.0,0.3,0.04108464078674948,0.01,i) AcX + Trypsin
0.1,0.3,0.11443089192546584,0.01,i) AcX + Trypsin
0.2,0.3,0.14983464824016562,0.01,i) AcX + Trypsin
0.3,0.3,0.166762533126294,0.01,i) AcX + Trypsin
0.4,0.3,0.17251184803312627,0.01,i) AcX + Trypsin
0.5,0.3,0.1727983608695652,0.01,i) AcX + Trypsin
0.6,0.3,0.17213080952380952,0.01,i) AcX + Trypsin
0.7,0.3,0.16667782091097308,0.01,i) AcX + Trypsin
0.8,0.3,0.1594239658385093,0.01,i) AcX + Trypsin
